id,app_order_no,ipipv_order_no,method,product_no,amount,duration,unit,cycle_times,cost_amount,status,created_at
1,IV202604241727511406,C20260424172942482383,open,ipv_gnkpqxuvf,1,30,1,1,28.00,3,"2026-04-24 16:27:51"
2,IV202604241831446271,C20260424183335464476,open,mb_gnahw9ap4,1,30,1,1,23.00,3,"2026-04-24 17:31:44"
3,IV202604241920497015,C20260424192240169192,open,ipideash_gnihdqu4e,1,1,3,1,15.00,3,"2026-04-24 18:20:49"
4,IV202604242006421827,C20260424200833004877,open,ipideash_gnihdquj9,1,1,3,1,15.00,3,"2026-04-24 19:06:42"
5,IV202604242007286754,C20260424200919699474,open,ipideash_gmwznupij,1,1,3,1,15.00,3,"2026-04-24 19:07:29"
6,IV202604280015166850,C20260428001516699449,open,ipv_gntrby9qg,2,30,1,1,36.00,3,"2026-04-28 00:15:16"
7,IV202604280017059243,C20260428001705211001,open,ipideash_gnihdqhri,1,1,3,1,15.00,3,"2026-04-28 00:17:05"
8,IV202604281048599928,C20260428104859583109,open,ipideash_gmwznub2t,1,1,3,1,15.00,3,"2026-04-28 10:48:59"
9,IV202604281055086903,C20260428105508777500,open,ipideash_gmwznub2t,3,1,3,1,45.00,3,"2026-04-28 10:55:08"
10,IV202604291709221185,C20260429170922234608,open,ipv_gnxcjr9hh,1,30,1,1,20.00,4,"2026-04-29 17:09:22"
11,IV202604301039568669,C20260430103956970507,open,ipideash_gnihdqhri,1,1,3,1,15.00,3,"2026-04-30 10:39:57"
12,IV202604301154593027,C20260430115459878708,open,ipv_gnkpqxuvf,1,30,1,1,28.00,3,"2026-04-30 11:54:59"
13,IV202604301158563396,C20260430115857169075,open,ipv_gnkpqxuvf,1,30,1,1,28.00,3,"2026-04-30 11:58:57"
14,IV202604301206284380,C20260430120628704596,open,ipv_gnkpqxuvf,1,30,1,1,28.00,3,"2026-04-30 12:06:28"
15,IV202605011138111808,C20260501113811737656,open,ipideash_gmwznub2t,1,1,3,1,15.00,3,"2026-05-01 11:38:11"
16,IV202605011142525896,C20260501114253039685,open,ipideash_gmwznug4v,1,1,3,1,15.00,3,"2026-05-01 11:42:53"
17,IV202605011346350589,C20260501134635577723,open,ipideash_gnihdqhri,1,1,3,1,15.00,3,"2026-05-01 13:46:35"
18,IV202605012304014631,C20260501230402056265,open,ipv_gnkpqxuvf,1,30,1,1,28.00,3,"2026-05-01 23:04:02"
19,IV202605022119043377,C20260502211904984916,open,ipideash_gmwznup92,1,1,3,1,15.00,3,"2026-05-02 21:19:05"
20,IV202605061714346391,C20260506171434330544,open,ipideash_gmwznub2t,1,1,3,1,15.00,3,"2026-05-06 17:14:34"
21,IV202605101839110410,C20260510183911416879,open,ipideash_gnihdqhri,2,1,3,1,30.00,3,"2026-05-10 18:39:11"
22,IV202605142321182967,C20260514232118512650,open,ipideash_gmwznub2t,1,1,3,1,15.00,3,"2026-05-14 23:21:18"
23,IV202605181100054516,C20260518110005533509,open,ipideash_gnihdqhri,1,1,3,1,15.00,3,"2026-05-18 11:00:05"
24,IV202605181541450145,C20260518154146112114,open,ipideash_gmwznub2t,1,1,3,1,15.00,3,"2026-05-18 15:41:46"
25,IV202605200600370471,,renew,ipv_gnkpqxuvf,1,1,3,1,,1,"2026-05-20 06:00:37"
26,IV202605200600370522,R20260520060038048723,renew,mb_gnahw9ap4,1,1,3,1,,3,"2026-05-20 06:00:37"
27,IV202605200600383579,R20260520060038531993,renew,ipideash_gnihdqu4e,1,1,3,1,,3,"2026-05-20 06:00:38"
28,IV202605200600387551,,renew,ipideash_gnihdquj9,1,1,3,1,,0,"2026-05-20 06:00:38"
29,IV202605200600391130,,renew,ipideash_gmwznupij,1,1,3,1,,0,"2026-05-20 06:00:39"
30,IV202605210600230434,,renew,ipv_gnkpqxuvf,1,1,3,1,,1,"2026-05-21 06:00:23"
31,IV202605210600232471,,renew,ipideash_gnihdquj9,1,1,3,1,,1,"2026-05-21 06:00:23"
32,IV202605210600243881,,renew,ipideash_gmwznupij,1,1,3,1,,1,"2026-05-21 06:00:24"
33,IV202605211600098991,C20260521160009323755,open,ipideash_gmwznub2t,1,1,3,1,15.00,3,"2026-05-21 16:00:09"
34,IV202605220600276701,,renew,ipv_gnkpqxuvf,1,1,3,1,,1,"2026-05-22 06:00:27"
35,IV202605220600280191,R20260522060028865419,renew,ipideash_gnihdquj9,1,1,3,1,,2,"2026-05-22 06:00:28"
36,IV202605220600290747,R20260522060029382690,renew,ipideash_gmwznupij,1,1,3,1,,3,"2026-05-22 06:00:29"
37,IV202605220941160269,C20260522094116800018,open,ipideash_gnihdqhri,1,1,3,1,15.00,3,"2026-05-22 09:41:16"
38,IV202605221519489224,C20260522151948218988,open,ipideash_gmwznug2m,1,1,3,1,15.00,3,"2026-05-22 15:19:48"
39,IV202605230600478916,,renew,ipv_gnkpqxuvf,1,1,3,1,,1,"2026-05-23 06:00:47"
40,IV202605230600477631,R20260523060048087900,renew,ipideash_gnihdqhri,1,1,3,1,,3,"2026-05-23 06:00:47"
41,IV202605230600484831,R20260523060048605464,renew,ipv_gntrby9qg,1,1,3,1,,3,"2026-05-23 06:00:48"
42,IV202605230600485606,R20260523060049103527,renew,ipv_gntrby9qg,1,1,3,1,,3,"2026-05-23 06:00:48"
43,IV202605230600499799,R20260523060049593457,renew,ipideash_gmwznub2t,1,1,3,1,,3,"2026-05-23 06:00:49"
44,IV202605230600497236,R20260523060050096166,renew,ipideash_gmwznub2t,1,1,3,1,,3,"2026-05-23 06:00:49"
45,IV202605230600505960,R20260523060050584658,renew,ipideash_gmwznub2t,1,1,3,1,,3,"2026-05-23 06:00:50"
46,IV202605230600502018,R20260523060051076900,renew,ipideash_gmwznub2t,1,1,3,1,,3,"2026-05-23 06:00:50"
47,IV202605240600129753,,renew,ipv_gnkpqxuvf,1,1,3,1,,1,"2026-05-24 06:00:12"
