productNo,productName,proxyType,useType,protocol,useLimit,sellLimit,areaCode,countryCode,stateCode,cityCode,detail,costPrice,inventory,ipType,ispType,netType,duration,unit,bandWidth,bandWidthType,bandWidthPrice,maxBandWidth,flow,cpu,memory,enable,supplierCode,cidrBlocks,drawType,refundDuration,ipCount,ipDuration,assignIp,parentNo,cidrStatus,oneDay,offlineCidrBlocks,proxyEverytimeChange,proxyGlobalRandom,apiDrawGlobalRandom,ipWhiteList,pwdDrawProxyUser,proxyUserFlowLimit,flowUseLog,pwdDrawSessionRange,flowConversionBase,resetPassword,projectList,productType
mb_gmh92ex88,ipipv,103,1,"1,2",0,0,1,THA,THA000,THA000010,ipipv,15.0000,44,1,1,2,30,1,5,1,0.0000,0,0,0,0,1,mb,"[{""cidr"":""38.182.110.0\/24"",""count"":33,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""62.112.142.0\/24"",""count"":3,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""38.182.111.0\/24"",""count"":8,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
mb_gmh92exsv,ipipv,103,1,"1,2",0,0,7,BRA,BRA000,BRA0000SP,ipipv,15.0000,459,1,1,2,30,1,5,1,0.0000,0,0,0,0,1,mb,"[{""cidr"":""154.64.149.0\/24"",""count"":58,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""154.64.159.0\/24"",""count"":189,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""154.64.158.0\/24"",""count"":212,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
mb_gmh92exc3,ipipv,103,1,"1,2",0,0,2,GBR,GBRENG,GBRENGLND,ipipv,15.0000,1503,1,1,2,30,1,5,1,0.0000,0,0,0,0,1,mb,"[{""cidr"":""154.62.172.0\/24"",""count"":204,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""154.62.180.0\/24"",""count"":215,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""154.64.136.0\/24"",""count"":216,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""154.64.137.0\/24"",""count"":217,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""154.64.138.0\/24"",""count"":215,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""154.64.139.0\/24"",""count"":217,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""154.64.140.0\/24"",""count"":219,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
mb_gmxaa447p,ipipv,103,1,"1,2",0,0,2,DEU,DEU000,DEU0000BE,ipipv,15.0000,238,1,1,2,30,1,5,1,0.0000,0,0,0,0,1,mb,"[{""cidr"":""154.64.146.0\/24"",""count"":92,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""154.64.148.0\/24"",""count"":146,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,"[{""cidr"":""181.214.132.0\/24"",""offlineTime"":""2026-05-25 14:48:06""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
mb_gmh92exuh,ipipv,103,1,"1,2",0,0,2,DEU,DEU000,DEU000FFO,ipipv,15.0000,0,1,1,2,30,1,5,1,0.0000,0,0,0,0,1,mb,,0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
ipv_gnrv2r9f5,ipipv,103,1,"1,2,4",1,2,6,CAN,CAN000,CAN000TOR,ipipv,16.0000,0,1,0,1,30,1,10,1,0.0000,0,0,0,0,-1,ipv,"[{""cidr"":""104.241.168.0\/24"",""count"":248,""asn"":""ASN32043"",""isp"":""NeoFiber"",""projectList"":null}]",0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
ipv_gnjsr6k65,ipipv,103,1,"1,2,4",1,2,2,ITA,ITA000,ITA000MIL,ipipv,16.0000,0,1,2,1,30,1,10,1,0.0000,0,0,0,0,-1,ipv,"[{""cidr"":""194.179.155.0\/24"",""count"":231,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,"[{""cidr"":""194.179.154.0\/24"",""offlineTime"":""2026-05-25 14:48:05""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
ipv_gnwqgqgdb,ipipv,103,1,"1,2,4",1,2,2,GBR,GBRENG,GBRENGLND,ipipv,16.0000,187,1,2,1,30,1,10,1,0.0000,0,0,0,0,1,ipv,"[{""cidr"":""213.177.253.0\/24"",""count"":53,""asn"":"""",""isp"":"""",""projectList"":[{""code"":""youtube"",""inventory"":21},{""code"":""whatsapp"",""inventory"":11},{""code"":""twitter"",""inventory"":11},{""code"":""linkedin"",""inventory"":20},{""code"":""ozon"",""inventory"":0},{""code"":""shopify"",""inventory"":6},{""code"":""tiktok"",""inventory"":28}]},{""cidr"":""86.53.87.0\/24"",""count"":134,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,"[{""cidr"":""213.177.255.0\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""86.53.69.2\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""86.53.41.0\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""89.213.103.0\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""86.53.77.0\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""86.53.78.0\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""86.53.79.0\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""86.53.75.0\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""86.53.73.0\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""86.53.72.0\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""86.53.71.0\/24"",""offlineTime"":""2026-05-25 14:48:05""},{""cidr"":""86.53.60.0\/24"",""offlineTime"":""2026-05-25 14:48:05""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,"[{""code"":""youtube"",""inventory"":21},{""code"":""whatsapp"",""inventory"":11},{""code"":""twitter"",""inventory"":11},{""code"":""linkedin"",""inventory"":20},{""code"":""ozon"",""inventory"":0},{""code"":""shopify"",""inventory"":6},{""code"":""tiktok"",""inventory"":28}]",1
ipv_gm7yjggk8,ipipv,103,1,"1,2",1,2,2,FRA,FRA000,FRA000PAR,ipipv,16.0000,0,1,2,1,30,1,10,1,0.0000,0,0,0,0,1,ipv,"[{""cidr"":""209.131.68.0\/24"",""count"":203,""asn"":"""",""isp"":"""",""projectList"":[{""code"":""youtube"",""inventory"":120},{""code"":""whatsapp"",""inventory"":37},{""code"":""twitter"",""inventory"":38},{""code"":""linkedin"",""inventory"":109},{""code"":""shopify"",""inventory"":32},{""code"":""tiktok"",""inventory"":179}]}]",0,0,0,0,1,,1,1,"[{""cidr"":""144.56.25.0\/24"",""offlineTime"":""2026-04-29 15:00:05""},{""cidr"":""144.56.26.0\/24"",""offlineTime"":""2026-04-29 15:00:05""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,"[{""code"":""youtube"",""inventory"":120},{""code"":""whatsapp"",""inventory"":37},{""code"":""twitter"",""inventory"":38},{""code"":""linkedin"",""inventory"":109},{""code"":""ozon"",""inventory"":0},{""code"":""shopify"",""inventory"":32},{""code"":""tiktok"",""inventory"":179}]",1
ipv_gnyzbqu5m,ipipv,103,1,"1,2,4",1,2,2,DEU,DEU000,DEU000FFO,ipipv,16.0000,0,1,2,1,30,1,10,1,0.0000,0,0,0,0,1,ipv,,0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,"[{""code"":""youtube"",""inventory"":21},{""code"":""whatsapp"",""inventory"":1},{""code"":""twitter"",""inventory"":23},{""code"":""linkedin"",""inventory"":3},{""code"":""shopify"",""inventory"":18},{""code"":""tiktok"",""inventory"":3}]",1
ipv_gnkpqxuvf,ipipv,103,1,"1,2,4",1,2,1,THA,THA000,THA000010,ipipv,28.0000,0,1,0,1,30,1,10,1,0.0000,0,0,0,0,-1,ipv,"[{""cidr"":""131.143.140.0\/24"",""count"":229,""asn"":""ASN152179"",""isp"":""GLOBAL "",""projectList"":null}]",0,0,0,0,1,,1,1,"[{""cidr"":""112.142.148.0\/24"",""offlineTime"":""2026-05-25 14:48:06""},{""cidr"":""112.142.149.0\/24"",""offlineTime"":""2026-05-25 14:48:06""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
ipv_gntrby9qg,ipipv,103,1,"1,2,4",1,2,4,AUS,AUSNSW,AUSNSWHBS,ipipv,18.0000,124,1,2,1,30,1,10,1,0.0000,0,0,0,0,1,ipv,"[{""cidr"":""203.32.21.0\/24"",""count"":124,""asn"":"""",""isp"":"""",""projectList"":[{""code"":""youtube"",""inventory"":37},{""code"":""whatsapp"",""inventory"":5},{""code"":""twitter"",""inventory"":9},{""code"":""linkedin"",""inventory"":27},{""code"":""shopify"",""inventory"":29},{""code"":""tiktok"",""inventory"":17}]}]",0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,"[{""code"":""youtube"",""inventory"":37},{""code"":""whatsapp"",""inventory"":5},{""code"":""twitter"",""inventory"":9},{""code"":""linkedin"",""inventory"":27},{""code"":""shopify"",""inventory"":29},{""code"":""tiktok"",""inventory"":17}]",1
ipv_gnzgyxkpa,ipipv,103,1,"1,2,4",1,2,1,VNM,VNM000,VNM0000HI,ipipv,25.0000,18,1,2,1,30,1,10,1,0.0000,0,0,0,0,1,ipv,"[{""cidr"":""116.118.75.0\/24"",""count"":18,""asn"":"""",""isp"":"""",""projectList"":[{""code"":""youtube"",""inventory"":10},{""code"":""whatsapp"",""inventory"":0},{""code"":""twitter"",""inventory"":0},{""code"":""linkedin"",""inventory"":2},{""code"":""ozon"",""inventory"":0},{""code"":""shopify"",""inventory"":0},{""code"":""tiktok"",""inventory"":6}]}]",0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,"[{""code"":""youtube"",""inventory"":10},{""code"":""whatsapp"",""inventory"":0},{""code"":""twitter"",""inventory"":0},{""code"":""linkedin"",""inventory"":2},{""code"":""ozon"",""inventory"":0},{""code"":""shopify"",""inventory"":0},{""code"":""tiktok"",""inventory"":6}]",1
ipv_gnj97i9r6,ipipv,103,1,"1,2,4",1,2,1,CHN,CHN071,CHN071000,ipipv,23.0000,0,1,2,1,30,1,10,1,0.0000,0,0,0,0,1,ipv,,0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
ipv_gnzrd9u47,ipipv,103,1,"1,2,4",1,2,1,KOR,KOR000,KOR000000,ipipv,25.0000,0,1,2,1,30,1,10,1,0.0000,0,0,0,0,-1,ipv,"[{""cidr"":""211.255.246.0\/24"",""count"":3,""asn"":"""",""isp"":"""",""projectList"":[{""code"":""youtube"",""inventory"":1},{""code"":""whatsapp"",""inventory"":0},{""code"":""twitter"",""inventory"":0},{""code"":""linkedin"",""inventory"":0},{""code"":""ozon"",""inventory"":0},{""code"":""shopify"",""inventory"":0},{""code"":""tiktok"",""inventory"":2}]}]",0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,"[{""code"":""youtube"",""inventory"":1},{""code"":""whatsapp"",""inventory"":0},{""code"":""twitter"",""inventory"":0},{""code"":""linkedin"",""inventory"":0},{""code"":""ozon"",""inventory"":0},{""code"":""shopify"",""inventory"":0},{""code"":""tiktok"",""inventory"":2}]",1
ipv_gnmzgpu5y,ipipv,103,1,"1,2,4",1,2,7,BRA,BRA000,BRA0000SP,ipipv,23.0000,0,1,2,1,30,1,10,1,0.0000,0,0,0,0,1,ipv,,0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
ipv_gnxcjr9hh,ipipv,103,1,"1,2,4",1,2,1,JPN,JPN000,JPN000013,ipipv,20.0000,0,1,2,1,30,1,10,1,0.0000,0,0,0,0,1,ipv,,0,0,0,0,1,,1,1,,-1,-1,-1,-1,-1,-1,-1,,0,1,"[{""code"":""youtube"",""inventory"":0},{""code"":""whatsapp"",""inventory"":0},{""code"":""twitter"",""inventory"":0},{""code"":""linkedin"",""inventory"":0},{""code"":""shopify"",""inventory"":0},{""code"":""tiktok"",""inventory"":0}]",1
ipv_gnxzqckie,ipipv,103,1,"1,2,4",1,2,1,IDN,IDN000,IDN0000JK,ipipv,20.0000,0,1,2,1,30,1,10,1,0.0000,0,0,0,0,-1,ipv,"[{""cidr"":""202.155.24.0\/24"",""count"":213,""asn"":"""",""isp"":"""",""projectList"":[{""code"":""youtube"",""inventory"":137},{""code"":""whatsapp"",""inventory"":8},{""code"":""twitter"",""inventory"":2},{""code"":""linkedin"",""inventory"":13},{""code"":""shopify"",""inventory"":10},{""code"":""tiktok"",""inventory"":43}]}]",0,0,0,0,1,,1,1,"[{""cidr"":""202.155.81.0\/24"",""offlineTime"":""2026-05-25 14:48:02""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,"[{""code"":""youtube"",""inventory"":137},{""code"":""whatsapp"",""inventory"":8},{""code"":""twitter"",""inventory"":2},{""code"":""linkedin"",""inventory"":13},{""code"":""shopify"",""inventory"":10},{""code"":""tiktok"",""inventory"":43}]",1
ipideash_gmwznupij,ipipv,103,1,"1,2",0,0,3,MLI,MLI000,MLI0000CD,ipipv,15.0000,244,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznug4v,ipipv,103,1,"1,2",0,0,3,ZAF,ZAF000,ZAF000JNB,ipipv,15.0000,363,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznub1a,ipipv,103,1,"1,2",0,0,1,KWT000,KWT000,KWT000000,ipipv,15.0000,243,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznubj2,ipipv,103,1,"1,2",0,0,3,EGY,EGY000,EGY000CAI,ipipv,15.0000,118,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznup92,ipipv,103,1,"1,2",0,0,3,GHA,GHA000,GHA0000GA,ipipv,15.0000,399,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznug2m,ipipv,103,1,"1,2",0,0,3,KEN,KEN000,KEN0000NA,ipipv,15.0000,0,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznup2g,ipipv,103,1,"1,2",0,0,3,COG,COG000,COG000001,ipipv,15.0000,168,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gnihdqu4e,ipipv,103,1,"1,2",0,0,3,MAR,MAR000,MAR000000,ipipv,15.0000,152,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gnihdqhri,ipipv,103,1,"1,2",0,0,3,NGA,NGA000,NGA000000,ipipv,15.0000,443,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gnihdquj9,ipipv,103,1,"1,2",0,0,3,UGA,UGA000,UGA000000,ipipv,15.0000,220,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gm6ti4tbg,ipipv,103,1,"1,2",0,0,7,BOL,BOL000,BOL000LPB,ipipv,15.0000,208,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gnihdqixj,ipipv,103,1,"1,2",0,0,7,ARG,ARG000,ARG000000,ipipv,15.0000,581,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gnihdqvqr,ipipv,103,1,"1,2",0,0,7,CHL,CHL000,CHL000000,ipipv,15.0000,71,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gnihdquh4,ipipv,103,1,"1,2",0,0,7,COL,COL000,COL000000,ipipv,15.0000,418,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznuc9p,ipipv,103,1,"1,2",0,0,1,SAU,SAU000,SAU000JED,ipipv,15.0000,0,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
ipideash_gmwznub2t,ipipv,103,1,"1,2",0,0,1,SAU,SAU000,SAU0000RD,ipipv,15.0000,556,1,0,0,1,3,0,0,0.0000,0,0,0,0,1,ipideash,,0,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,-1,[],1
mb_gn5qre958,ipipv,103,1,"1,2",0,0,7,BRA,BRA000,BRA0000RJ,ipipv,25.0000,239,1,1,1,30,1,5,1,0.0000,0,0,0,0,1,mb,"[{""cidr"":""200.234.165.0\/24"",""count"":3,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""200.234.168.0\/24"",""count"":3,""asn"":"""",""isp"":"""",""projectList"":null},{""cidr"":""200.160.222.0\/24"",""count"":233,""asn"":"""",""isp"":"""",""projectList"":null}]",0,0,0,0,1,,1,1,"[{""cidr"":""200.234.167.0\/24"",""offlineTime"":""2026-05-25 14:48:06""}]",-1,-1,-1,-1,-1,-1,-1,,0,1,[],1
